bestFor,imageURL,name,appLink,description,reqCreditScore
rewards,https://www.nerdwallet.com/c1/images/6043_08276a0441d0ba09918a879c80e843e6_L.jpg,Discover it® Cash Back,https://www.nerdwallet.com/redirect/credit-cards/6043?clickHeader_category=Credit%20Card&clickHeader_productId=6043&name=Discover-It&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=0&section_name=&section_position=&header_pageViewId=,"ProsThis card has broad bonus categories that you activate each quarter, allowing you to earn 5% cash back at such places as restaurants, grocery stores and gas stations. (The 5% rewards are capped at $1,500 in spending per quarter; after that, you get 1%. See current categories here.) There’s also a distinctive sign-up bonus: Discover will match ALL the cash back you've earned at the end of your first year, automatically. There's no signing up. And no limit to how much is matched.ConsKeeping track of the changing bonus categories, and remembering to opt in to them every three months, can be a hassle. ",690
rewards,https://www.nerdwallet.com/c1/images/3098_b4b01e55e0794280d11e27acbcc5d2b2_L.jpg,Chase Sapphire Preferred Credit Card,https://www.nerdwallet.com/redirect/credit-cards/3098?clickHeader_category=Credit%20Card&clickHeader_productId=3098&name=Chase-Sapphire-Preferred&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=,"ProsYou earn 2 points per dollar spent on dining and travel and 1 point per dollar on everything else. Points are worth 1.25 cents apiece when you redeem them for travel booked through Chase, or you can transfer them to several other loyalty programs, including United, Southwest, Marriott and Hyatt. Further, Ultimate Rewards® points transferred to this card from other Chase cards can be redeemed the same way. The card also comes with a superb sign-up bonus.ConsThe rewards you earn on your spending are valuable in themselves, but if it's perks you're looking for — for example, free checked bags on flights, free hotel upgrades or automatic travel credits — look to a branded airline or hotel card or this card's premium sibling, the Chase Sapphire Reserve®. ",690
rewards,https://www.nerdwallet.com/c1/images/11712_ed9078a0b9f95ede9208dec8cdf2beaf_L.jpg,Capital One Venture Rewards Credit Card,https://www.nerdwallet.com/redirect/credit-cards/11712?clickHeader_category=Credit%20Card&clickHeader_productId=11712&name=Capital-One-Venture-Rewards&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=2&section_name=&section_position=&header_pageViewId=,"ProsYou earn unlimited 2 miles per dollar spent on all purchases, and miles can be redeemed for credit on your statement against most travel expenses. You’re not restricted to any particular airline or hotel, and there’s no minimum amount required to redeem. Just book your own travel, then pay for it with rewards. The great sign-up bonus starts you off right, too.ConsIf you're loyal to a particular airline or hotel chain, you may get more value from one of that brand's own cards. This card allows you to transfer miles to several airline frequent-flyer programs, but the options aren't very strong. ",690
rewards,https://www.nerdwallet.com/c1/images/8012_8aba2839fc3757d5c3149dc675cfbe63_L.jpg,Wells Fargo Propel American Express® Credit Card,https://www.nerdwallet.com/redirect/credit-cards/8012?clickHeader_category=Credit%20Card&clickHeader_productId=8012&name=Wells-Fargo-Propel-American-Express&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=3&section_name=&section_position=&header_pageViewId=,"ProsYou earn 3 points per dollar in a slew of popular categories, including dining, travel, gas stations, streaming services and more. Other spending earns 1 point per dollar. Points are worth a penny apiece and are redeemable for cash, travel and more. There's a decent bonus for new cardholders, and you even get a 0% introductory APR period. 
ConsThere are some limitations on redemption. For cash back, the minimum redemption amount is $25, or $20 when redeeming at a Wells Fargo ATM. Travel redemptions are available only by booking through Wells Fargo; you can't use points for statement credit against travel purchases like with some other cards. ",690
rewards,https://www.nerdwallet.com/c1/images/11718_2c799504770f4cf83bf22b0231f65ab8_L.jpg,Capital One Quicksilver Credit Card,https://www.nerdwallet.com/redirect/credit-cards/11718?clickHeader_category=Credit%20Card&clickHeader_productId=11718&name=Capital-One-Cash-Credit-Card&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=4&section_name=&section_position=&header_pageViewId=,"ProsYou earn an unlimited 1.5% cash back on everything. And unlike with many other cards, you can redeem your cash back in any amount at any time. This card also comes with an outstanding 0% introductory APR offer and a nifty sign-up bonus: One-time $150 cash bonus after you spend $500 on purchases within 3 months from account opening. ConsThe market has caught up to this card's 1.5% flat rewards rate, although not many cards have passed it. You can get higher rewards rates on other cards in specific categories.  ",690
rewards,https://www.nerdwallet.com/c1/images/3214_6cbfb532588c5fc21051140bfe0a17ff_L.jpg,Chase Freedom Unlimited Credit Card,https://www.nerdwallet.com/redirect/credit-cards/3214?clickHeader_category=Credit%20Card&clickHeader_productId=3214&name=chase-freedom-unlimited&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=5&section_name=&section_position=&header_pageViewId=,"ProsYou earn unlimited 1.5% cash back on every purchase, and you can redeem your cash back in any amount at any time, with no minimum redemption amount. Earn a $150 Bonus after you spend $500 on purchases in your first 3 months from account opening.  If you're a maximizer, you can transfer your rewards to one of Chase's Sapphire cards to boost their value by 25% or 50%. ConsThe 1.5% rewards rate is more or less standard nowadays. You can get higher rewards rates on other cards, although you'd be hard-pressed to match this card's combination of benefits.  ",690
rewards,https://www.nerdwallet.com/c1/images/1114_a75566e79898b350b5cd369d985718b3_L.jpg,American Express Blue Cash Preferred Credit Card,https://www.nerdwallet.com/redirect/credit-cards/1114?clickHeader_category=Credit%20Card&clickHeader_productId=1114&name=American-Express-Blue-Cash-Preferred&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=6&section_name=&section_position=&header_pageViewId=,"ProsThis card offers industry-leading rewards at U.S. supermarkets — 6% cash back on up to $6,000 in spending per year (then 1%) — supplemented by 3% cash back at U.S. gas stations and on transit (including such things as taxis, rideshares, buses, trains, tolls and parking). You also get 6% cash back on select U.S. streaming subscriptions. All other purchases earn 1% back. A welcome bonus adds to the appeal.ConsThis card has a high annual fee, although if you spend at least $31 a week at U.S. supermarkets, the cash back will offset it. Because it’s from American Express, you might have trouble using it in some places. ",690
rewards,https://www.nerdwallet.com/c1/images/65455_44d2d1959164cc2ea33a1c514ebd6faf_L.jpg,Capital One® Savor℠ Cash Rewards Credit Card,https://www.nerdwallet.com/redirect/credit-cards/65455?clickHeader_category=Credit%20Card&clickHeader_productId=65455&name=Capital-One-Savor-Cash-Rewards&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=7&section_name=&section_position=&header_pageViewId=,"ProsThis card pays an outstanding (and unlimited) 4% cash back on restaurant dining and entertainment, plus 2% cash back at grocery stores and 1% cash back on all other purchases. There's a fantastic sign-up bonus, too: Earn a one-time $300 cash bonus after you spend $3,000 on purchases within the first 3 months from account opening.ConsThe annual fee of $0 intro for the first year, then $95 might be a dealbreaker for some. If restaurant dining isn't a way of life, consider the Capital One® SavorOne® Cash Rewards Credit Card, which has no fee but pays a lower 3% rate on restaurants and entertainment and offers a smaller bonus. ",690
rewards,https://www.nerdwallet.com/c1/images/6050_7165deb90c0fd81b9e60c7d4830644cb_L.jpg,Discover it® Student chrome,https://www.nerdwallet.com/redirect/credit-cards/6050?clickHeader_category=Credit%20Card&clickHeader_productId=6050&name=Discover-it-chrome-Students&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=8&section_name=&section_position=&header_pageViewId=,"ProsYou earn 2% cash back at restaurants and gas stations, on up to $1,000 in combined purchases per quarter, and 1% cash back on all other purchases. (Unlike with Discover's other student card, you don't have to ""activate"" your bonus rewards.) The annual fee is $0. Students with a GPA of 3.0 or higher can earn a $20 statement credit each year for up to five years. There's also Discover's signature bonus for new cardholders. ConsAlthough there's no foreign transaction fee, Discover isn’t as widely accepted abroad as other cards. If you plan to travel internationally, make sure you have a backup plan.
",630
rewards,https://www.nerdwallet.com/c1/images/4220_1488fe0259957955b6992c8fc8d79a78_L.jpg,Citi® Double Cash Card,https://www.nerdwallet.com/redirect/credit-cards/4220?clickHeader_category=Credit%20Card&clickHeader_productId=4220&name=Citibank-Double-Cash-Card&trk_channel=web&trk_element=image&trk_location=MarketplaceApplyNow&trk_nldt=undefined&trk_pagetype=roundup&trk_sectionCategory=MarketplaceProductCard__productImage&trk_topic=Rewards%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application_referral&has_prequalified=false&impression_id=&link_type=PRODUCT_IMAGE&monetizable=&page_number=&product_display_driver=&product_position=9&section_name=&section_position=&header_pageViewId=,"ProsThe value in this card is pretty much all in its stellar rewards rate: 2% cash back on purchases — 1% when you buy something, and 1% when you pay it off.  ConsOther cards offer higher cash back percentages in specific categories. And this offer does not include a sign-up bonus.",690
